Protein.Group	Protein.Names	Genes	First.Protein.Description	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
Q8TF47	ZFP90_HUMAN	ZFP90																		1.7643e+06										
Q8TF50	ZN526_HUMAN	ZNF526		2.58369e+06	3.28996e+06	2.21637e+06	2.83462e+06	1.61284e+06	1.45318e+06	2.69233e+06	2.4585e+06	2.16288e+06	2.22224e+06	3.20179e+06	2.96594e+06	2.1197e+06	2.35548e+06	2.1523e+06	2.90252e+06	2.94443e+06	3.42816e+06	3.22996e+06	1.39312e+06	1.57369e+06	1.37227e+06					1.67048e+06
Q8TF62	AT8B4_HUMAN	ATP8B4		2.88668e+06	1.47774e+06	1.86367e+06		5.97214e+06	5.27695e+06	3.17212e+06	3.14083e+06	2.10566e+06	2.8807e+06	1.829e+06	2.23607e+06	1.7592e+06		2.58056e+06		1.04004e+06	805349		6.95224e+06	6.63817e+06	7.76037e+06	5.27266e+06	7.91324e+06	4.73613e+06	4.83964e+06	5.30677e+06
Q8TF64	GIPC3_HUMAN	GIPC3							562087				277917																	
Q8TF66	LRC15_HUMAN	LRRC15																											192469	
Q8TF68	ZN384_HUMAN	ZNF384		9.15414e+06	1.019e+07	8.48585e+06	7.70995e+06	1.27502e+07	1.50009e+07	8.27163e+06	7.39036e+06	8.72124e+06	8.1743e+06	9.12047e+06	8.16912e+06	7.54886e+06	7.49255e+06	7.31725e+06	6.93511e+06	8.04309e+06	8.43874e+06	7.8128e+06	1.60729e+07	1.19314e+07	1.39278e+07	1.08974e+07	1.44364e+07	1.3081e+07	1.31836e+07	1.26534e+07
Q8TF74	WIPF2_HUMAN	WIPF2		540060				590179		372684		298236	379544	254844	436278	466697	312990	453790		388233	317383	409574	340323	357030	369691	453732	461484	413198	493491	435828
Q8TF76	HASP_HUMAN	HASPIN		1.94512e+06	2.3206e+06	2.49572e+06	1.37552e+06	1.35155e+06	2.57144e+06	2.01179e+06	2.45314e+06	1.66767e+06	2.09489e+06	1.69052e+06	1.93737e+06	1.31974e+06	1.35385e+06			1.51536e+06	1.40496e+06	1.49087e+06	2.58968e+06		1.72959e+06	2.29956e+06	1.92177e+06	1.64295e+06	2.77465e+06	2.11712e+06
Q8WTR2	DUS19_HUMAN	DUSP19			833709									1.57172e+06																
Q8WTR8	NET5_HUMAN	NTN5			1.07096e+06					1.11359e+06	980584	991120	773393		1.65107e+06	759355				590118		1.39347e+06	884563			653157		785296		
Q8WTS1	ABHD5_HUMAN	ABHD5		7.16862e+06	5.18999e+06	5.86346e+06	2.45423e+06	4.34367e+06	3.65743e+06	6.06139e+06	6.46319e+06	7.91765e+06	7.78229e+06	5.70104e+06	6.20718e+06	2.02859e+06		1.37728e+06	2.0323e+06	2.01775e+06	2.73062e+06	2.83604e+06	3.46582e+06	3.61504e+06	3.54662e+06	4.13967e+06	3.66589e+06	4.52604e+06	4.13694e+06	4.4973e+06
Q8WTS6	SETD7_HUMAN	SETD7		1.88391e+07	1.53473e+07	1.95094e+07	1.13899e+07	9.27817e+06	1.87348e+07	2.13145e+07	2.19402e+07	1.55022e+07	2.27938e+07	1.31007e+07	1.51871e+07	1.45016e+07	1.36817e+07	1.25374e+07	1.38068e+07	1.57655e+07	1.30745e+07	1.26039e+07	1.29376e+07	1.36779e+07	1.18916e+07	1.25721e+07	1.27444e+07	1.00995e+07	1.26454e+07	1.17496e+07
Q8WTT2	NOC3L_HUMAN	NOC3L		3.9674e+07	4.97767e+07	4.28583e+07	2.76708e+07	4.23102e+07	2.54547e+07	3.46815e+07	3.44961e+07	3.83291e+07	5.11753e+07	3.27769e+07	3.79872e+07	3.52856e+07	2.67761e+07	2.51166e+07	2.19152e+07	3.93568e+07	4.4652e+07	3.79357e+07	3.44988e+07	3.21222e+07	4.21827e+07	3.65963e+07	2.51538e+07	3.54927e+07	3.774e+07	3.75123e+07
Q8WTV0	SCRB1_HUMAN	SCARB1		1.97447e+07	1.82558e+07	2.75973e+07	3.29347e+07	2.4578e+07	3.20603e+07	2.19971e+07	2.1278e+07	1.60285e+07	1.80236e+07	1.80996e+07	1.92075e+07	3.2151e+07	3.00419e+07	3.29916e+07	3.84139e+07	3.99163e+07	2.82836e+07	3.68268e+07	3.31575e+07	2.73727e+07	2.79049e+07	4.4926e+07	2.26216e+07	2.1315e+07	3.08245e+07	2.4881e+07
Q8WTV1	THAP3_HUMAN	THAP3					517544			448034					460499			437064	469381	601347	601140	631400								
Q8WTW3	COG1_HUMAN	COG1		4.89349e+06	5.64313e+06	5.70621e+06	4.62433e+06	5.1516e+06	4.09745e+06	5.19603e+06	5.98634e+06	5.17849e+06	4.46029e+06	5.70826e+06	5.54735e+06	4.4855e+06	4.56624e+06	4.6674e+06	4.8917e+06	3.92174e+06	4.31886e+06	3.75737e+06	5.49899e+06	4.38896e+06	5.10901e+06	5.27715e+06	6.16837e+06	6.62893e+06	3.49617e+06	3.98106e+06
Q8WTX7	CAST1_HUMAN	CASTOR1											4.16866e+06																	
Q8WTZ4	CA5BL_HUMAN	CA5BP1											9223.28	232788			312942		306920											
Q8WU10	PYRD1_HUMAN	PYROXD1		2.71817e+06	3.05182e+06	3.77449e+06	3.10593e+06	4.63693e+06	4.2309e+06	3.11039e+06	3.31345e+06	3.4297e+06	2.79608e+06	3.02103e+06	2.96767e+06	3.14413e+06	3.24267e+06	3.16215e+06	3.18625e+06	2.61297e+06	3.4332e+06	3.21013e+06	4.71563e+06	4.07105e+06	3.9493e+06	5.81794e+06	3.41102e+06	5.77288e+06	4.51601e+06	4.33846e+06
Q8WU20	FRS2_HUMAN	FRS2							3.40799e+06																					
Q8WU58	F222B_HUMAN	FAM222B												682328			908596	1.13748e+06		1.3049e+06	1.22255e+06	1.32358e+06								
Q8WU66	TSEAR_HUMAN	TSPEAR						513872					563766			847995									562508				510203	557408
Q8WU68	U2AF4_HUMAN	U2AF1L4						5.21602e+06																						
Q8WU76	SCFD2_HUMAN	SCFD2		9.33895e+06	1.10959e+07	9.98066e+06	8.59423e+06	1.04832e+07	8.27682e+06	9.73857e+06	9.93399e+06	8.97218e+06	9.87534e+06	1.10495e+07	1.06729e+07	8.73825e+06	8.81103e+06	9.15844e+06	9.42693e+06	8.74326e+06	9.13082e+06	8.84102e+06	8.0929e+06	9.85231e+06	8.93696e+06	9.4472e+06	1.10476e+07	1.07341e+07	8.01442e+06	8.02472e+06
Q8WU79	SMAP2_HUMAN	SMAP2		3.18632e+07	2.59566e+07	3.04163e+07	4.81744e+07	3.93864e+07	3.16341e+07	3.39043e+07	3.20142e+07	3.75586e+07	2.94136e+07	2.52231e+07	2.64618e+07	5.98718e+07	5.71353e+07	5.62635e+07	5.07505e+07	4.88096e+07	4.67089e+07	4.64735e+07	3.06431e+07	3.08433e+07	2.96614e+07	2.92868e+07	3.88843e+07	3.57846e+07	3.06054e+07	3.01828e+07
Q8WU90	ZC3HF_HUMAN	ZC3H15		3.98568e+07	3.8587e+07	4.50422e+07	4.00226e+07	3.11771e+07	2.94235e+07	4.02577e+07	4.48413e+07	4.03173e+07	4.41233e+07	3.85192e+07	4.06412e+07	3.35672e+07	3.576e+07	3.88679e+07	3.6792e+07	3.75144e+07	3.2701e+07	3.30792e+07	2.60176e+07	2.70473e+07	2.73072e+07	2.73519e+07	2.88291e+07	3.14129e+07	3.05024e+07	2.97253e+07
Q8WUA2	PPIL4_HUMAN	PPIL4		2.08957e+07	1.917e+07	2.00598e+07	1.22565e+07	1.40641e+07	1.44132e+07	1.80306e+07	1.63197e+07	1.83883e+07	2.17788e+07	1.59799e+07	1.81285e+07	1.41803e+07	1.20468e+07	1.28299e+07	1.27082e+07	1.53915e+07	1.40822e+07	1.3885e+07	1.25199e+07	1.33323e+07	1.35026e+07	1.34361e+07	1.08161e+07	1.24273e+07	1.39209e+07	1.49344e+07
Q8WUA4	TF3C2_HUMAN	GTF3C2		1.29721e+07	1.29552e+07	1.38404e+07	1.27542e+07	2.48767e+07	1.47016e+07	1.2485e+07	1.15312e+07	1.52468e+07	1.35516e+07	1.20592e+07	1.20799e+07	1.42404e+07	1.37063e+07	1.35399e+07	1.34669e+07	1.49592e+07	1.43223e+07	1.38927e+07	2.10096e+07	2.15e+07	2.23884e+07	2.15945e+07	2.14826e+07	2.17451e+07	1.70885e+07	1.74428e+07
Q8WUA7	TB22A_HUMAN	TBC1D22A		8.51491e+06	6.54945e+06	7.34852e+06	8.38326e+06	1.32809e+07	1.09358e+07	7.69868e+06	7.96592e+06	9.39812e+06	7.14855e+06	5.79101e+06	6.14824e+06	9.82788e+06	7.30981e+06	1.06339e+07	9.02089e+06	1.24587e+07	1.02145e+07	8.36648e+06	1.24256e+07	1.12938e+07	1.20515e+07	7.98942e+06	1.01724e+07	1.16836e+07	1.0405e+07	1.00949e+07
Q8WUB8	PHF10_HUMAN	PHF10		9.83558e+06	9.45499e+06	1.11492e+07	1.34812e+07	6.67669e+06	7.58173e+06	8.97034e+06	1.06614e+07	1.13861e+07	1.29172e+07	9.24771e+06	9.71105e+06	1.12187e+07	1.0536e+07	9.42708e+06	1.07743e+07	1.17312e+07	1.33155e+07	1.33462e+07	7.66529e+06	7.93835e+06	7.60726e+06	6.89261e+06	6.44422e+06	7.19262e+06	7.72739e+06	8.02901e+06
Q8WUD1	RAB2B_HUMAN	RAB2B						1.06094e+06				1.33641e+06	1.42024e+06			2.10788e+06								1.64315e+06	2.13357e+06					1.76844e+06
Q8WUD4	CCD12_HUMAN	CCDC12		3.6218e+07	2.70423e+07	3.385e+07	3.50048e+07	3.10792e+07	3.4749e+07	3.73762e+07	3.66673e+07	3.43632e+07	3.45448e+07	3.0155e+07	3.04405e+07	3.71447e+07	3.19058e+07	4.28235e+07	3.74822e+07	4.14778e+07	3.2127e+07	3.21857e+07	3.60591e+07	3.38367e+07	3.16063e+07	3.5047e+07	3.32777e+07	3.53826e+07	3.1084e+07	3.2122e+07
Q8WUD6	CHPT1_HUMAN	CHPT1		255332		2.33876e+06					881795																			
Q8WUF5	IASPP_HUMAN	PPP1R13L		3.05089e+06	3.51896e+06	3.20555e+06	2.77889e+06	2.45328e+06	1.96072e+06	3.11451e+06	3.94971e+06		3.91817e+06	3.95799e+06	3.52666e+06	1.09775e+06			1.74032e+06		1.30069e+06			2.34086e+06			3.16719e+06	2.01039e+06		
Q8WUF8	ARB2A_HUMAN	ARB2A		6.10316e+06	7.88911e+06	6.49683e+06	4.8803e+06	6.03605e+06	7.1155e+06	6.13698e+06	6.71251e+06	9.18601e+06	7.54085e+06	7.54358e+06	7.90995e+06	5.5821e+06	5.51354e+06	5.26257e+06	6.09337e+06	6.78903e+06	5.93461e+06	5.59773e+06	4.7704e+06	6.28846e+06	5.17414e+06	4.44387e+06	6.07542e+06	6.25132e+06	6.43953e+06	6.06245e+06
Q8WUG5	S22AH_HUMAN	SLC22A17				7.68411e+06			3.36808e+06																					
Q8WUH1	CHUR_HUMAN	CHURC1		1.72818e+07	1.71505e+07	1.72214e+07	2.12489e+07	2.53379e+07	2.32926e+07	1.78288e+07	2.2149e+07	2.1222e+07	2.56962e+07	1.75429e+07	1.45446e+07	2.08368e+07	2.31646e+07	2.17493e+07	2.18508e+07	2.28534e+07	1.59922e+07	2.08699e+07	2.08396e+07	3.10613e+07	3.7504e+07	2.14998e+07	1.59103e+07	1.25634e+07	2.66685e+07	3.90658e+07
Q8WUH2	TGFA1_HUMAN	TGFBRAP1		4.27127e+06	4.0666e+06	3.56234e+06	4.55343e+06	4.26455e+06	3.86586e+06	4.04294e+06	3.78046e+06	4.41775e+06	3.7011e+06	3.53729e+06	3.58613e+06	4.68674e+06	4.22064e+06	4.45494e+06	4.5457e+06	4.49578e+06	4.85431e+06	4.95167e+06	4.94834e+06	4.38014e+06	4.13114e+06	3.2659e+06	4.53268e+06	4.88056e+06	3.3165e+06	3.85946e+06
Q8WUH6	TM263_HUMAN	TMEM263								317091								490466	496429									544932		
Q8WUI4	HDAC7_HUMAN	HDAC7		3.67935e+06	2.9616e+06	3.6744e+06	2.39537e+06	4.10173e+06	3.77782e+06	3.36319e+06	2.81573e+06	1.90432e+06	2.23524e+06	3.21969e+06	3.44246e+06	2.65359e+06	2.9027e+06	2.78946e+06	2.7721e+06	2.93347e+06	2.55292e+06	2.1861e+06	5.85532e+06	4.60858e+06	4.72982e+06	6.85059e+06	4.0881e+06	4.6019e+06	4.03322e+06	3.6964e+06
Q8WUJ0	STYX_HUMAN	STYX		1.38458e+06	1.37128e+06	1.30992e+06	1.04514e+06	2.54788e+06	3.55788e+06	1.30197e+06	1.22739e+06	2.27989e+06	1.41696e+06	1.20562e+06		2.28712e+06	1.57779e+06	1.84597e+06		2.27449e+06	1.96559e+06	2.01709e+06	2.54088e+06	3.31818e+06	3.36237e+06	2.2223e+06	2.15409e+06	2.06172e+06	2.98725e+06	3.74879e+06
Q8WUK0	PTPM1_HUMAN	PTPMT1		3.25027e+06	3.5963e+06	2.36387e+06	2.49588e+06	2.79087e+06	1.48764e+06	3.90164e+06	3.34782e+06	4.92282e+06	3.6416e+06	4.53587e+06	4.48479e+06	4.84849e+06	3.60801e+06	3.22305e+06	2.59547e+06	4.04832e+06	3.8461e+06	3.97545e+06	2.08191e+06	3.08933e+06	3.38988e+06	2.46474e+06	3.36255e+06	2.51673e+06	1.84814e+06	1.83111e+06
Q8WUM0	NU133_HUMAN	NUP133		3.28349e+07	3.66209e+07	2.89086e+07	2.56016e+07	3.09705e+07	3.03869e+07	3.36446e+07	2.87295e+07	3.46449e+07	3.53668e+07	3.14313e+07	3.46518e+07	2.84452e+07	2.77656e+07	2.22234e+07	2.32271e+07	2.84428e+07	2.96599e+07	2.98908e+07	2.89753e+07	3.20591e+07	3.3105e+07	3.06095e+07	2.83924e+07	2.61239e+07	3.75955e+07	3.61232e+07
Q8WUM4	PDC6I_HUMAN	PDCD6IP		1.80805e+08	1.59144e+08	1.55593e+08	2.07306e+08	2.1929e+08	1.98864e+08	1.71343e+08	1.69732e+08	1.68197e+08	1.67101e+08	1.44076e+08	1.52004e+08	2.08964e+08	1.97413e+08	1.88183e+08	1.8633e+08	2.00063e+08	2.02731e+08	2.08209e+08	1.8924e+08	1.88023e+08	1.96884e+08	1.79346e+08	1.98111e+08	2.15642e+08	2.00724e+08	2.0608e+08
Q8WUM9	S20A1_HUMAN	SLC20A1		5.26567e+06	4.38683e+06	5.381e+06	5.6195e+06	4.13117e+06	8.65126e+06	5.93066e+06	4.81429e+06	3.08586e+06	4.18684e+06	4.81074e+06	4.72025e+06	6.13412e+06	6.59723e+06	7.00908e+06	5.07641e+06	6.72887e+06	5.10383e+06	6.37857e+06	4.01832e+06	4.18734e+06	4.33624e+06	8.02402e+06	2.94726e+06	4.77733e+06	7.41369e+06	7.94433e+06
Q8WUN7	UBTD2_HUMAN	UBTD2		1.65685e+06	1.22884e+06	1.78238e+06	462155	1.28468e+06	1.10316e+06	1.28816e+06	1.56533e+06	2.70675e+06	1.96053e+06	1.52568e+06	1.70243e+06	898303		1.04224e+06	831448	721796	863160	1.21932e+06	1.04768e+06	1.18866e+06	1.44358e+06	1.01948e+06	979030	1.34046e+06	1.28927e+06	1.26525e+06
Q8WUQ7	CATIN_HUMAN	CACTIN		7.57603e+06	8.16119e+06	6.63063e+06	7.75944e+06	6.10257e+06	4.5855e+06	7.14106e+06	7.09246e+06	5.70862e+06	8.62435e+06	8.03503e+06	8.57823e+06	1.10253e+07	8.97138e+06	9.48659e+06	8.40722e+06	1.15263e+07	1.06026e+07	1.0343e+07	5.79642e+06	5.92123e+06	6.05816e+06	6.06755e+06	5.6835e+06	5.37264e+06	5.57035e+06	5.37208e+06
Q8WUS8	D42E1_HUMAN	SDR42E1				3.20318e+06	2.92212e+06			2.88136e+06							3.77477e+06	2.66135e+06	2.7454e+06	3.53781e+06		2.87412e+06					3.44548e+06	2.08497e+06		
Q8WUT4	LRRN4_HUMAN	LRRN4		550241						617373					255225			705107		333220	219320		503449	422878						
Q8WUT9	S2543_HUMAN	SLC25A43														471232														
Q8WUU4	ZN296_HUMAN	ZNF296		2.21308e+06	1.76668e+06	1.57049e+06	2.01006e+06	1.9776e+06	1.3426e+06	1.9943e+06	1.47371e+06	1.35728e+06	2.09739e+06	2.33742e+06	2.42104e+06	1.21854e+06	932599	1.20509e+06	1.73238e+06	1.33681e+06	1.92852e+06	1.8832e+06	2.27498e+06	2.62571e+06	2.17187e+06	1.89459e+06	1.92018e+06	2.15154e+06	1.90516e+06	1.62995e+06
Q8WUU5	GATD1_HUMAN	GATAD1		315769	368472	194655		551254	429358	185891		333865	358962		299737	419568	336739	338309	407700	477189	281469	355624	319043	502010	462759	446319	379885		478265	490598
Q8WUW1	BRK1_HUMAN	BRK1		4.06605e+07	3.45276e+07	3.12684e+07	3.66269e+07	4.31567e+07	3.98723e+07	3.33346e+07	3.30653e+07	3.69161e+07	4.06854e+07	3.18629e+07	3.1188e+07	3.69518e+07	3.4216e+07	3.31705e+07	2.79573e+07	3.26236e+07	3.17265e+07	3.53818e+07	3.77663e+07	4.65289e+07	4.29915e+07	3.96569e+07	3.43272e+07	4.20254e+07	4.51994e+07	4.25959e+07
Q8WUX1	S38A5_HUMAN	SLC38A5		2.78963e+07	3.84871e+07	3.97215e+07	2.79956e+07	2.25531e+07	2.43022e+07	3.20773e+07	4.42465e+07	3.72735e+07	3.56804e+07	3.92094e+07	3.51471e+07	1.65982e+07	1.58714e+07	1.67106e+07	2.17991e+07	2.46436e+07	2.4246e+07	2.70379e+07	2.72358e+07	3.23437e+07	2.49077e+07	3.33702e+07	1.67777e+07	2.21006e+07	2.9658e+07	2.73322e+07
Q8WUX2	CHAC2_HUMAN	CHAC2		5.38124e+06	5.30792e+06	5.46759e+06	4.49277e+06	2.06193e+06	2.34076e+06	5.88441e+06	5.58655e+06	4.75685e+06	6.1606e+06	6.30067e+06	5.60374e+06	4.04495e+06	4.72175e+06	4.69558e+06	4.32823e+06	4.31337e+06	4.847e+06	4.67742e+06	3.04517e+06	3.0114e+06	3.21783e+06	3.45494e+06	1.85486e+06	1.7691e+06	2.78325e+06	3.21093e+06
Q8WUX9	CHMP7_HUMAN	CHMP7		9.80843e+06	8.17777e+06	1.00521e+07	1.91e+07	1.42639e+07	1.41589e+07	9.54231e+06	9.46098e+06	9.93916e+06	9.76514e+06	7.53655e+06	8.77365e+06	1.66368e+07	1.60042e+07	1.60597e+07	1.65079e+07	1.539e+07	1.68483e+07	1.77008e+07	1.36792e+07	1.5343e+07	1.39618e+07	1.59657e+07	1.4191e+07	1.45251e+07	1.36944e+07	1.37286e+07
Q8WUY1	THEM6_HUMAN	THEM6		2.03282e+07	2.33893e+07	2.17008e+07	3.44393e+07	1.4504e+07	2.75897e+07	2.00177e+07	2.25381e+07	2.48596e+07	1.69582e+07	2.19972e+07	2.39541e+07	3.30995e+07	2.99036e+07	3.10948e+07	2.99026e+07	3.27752e+07	3.68018e+07	3.42548e+07	1.40594e+07	1.31948e+07	1.39434e+07	1.42787e+07	1.6111e+07	1.87366e+07	2.18984e+07	2.22638e+07
Q8WUY8	NAT14_HUMAN	NAT14		3.59019e+06	3.72566e+06	3.28212e+06	3.56102e+06	2.02967e+06	2.92353e+06	3.85955e+06	2.81078e+06	2.10508e+06	3.1825e+06	3.93768e+06	3.12191e+06	2.27939e+06	3.04687e+06	3.10733e+06	2.91298e+06	2.75736e+06	2.97601e+06	1.37296e+06	808029	1.09435e+06	2.39519e+06	1.2178e+06	1.13564e+06	1.14761e+06	1.11138e+06	2.29636e+06
Q8WUZ0	BCL7C_HUMAN	BCL7C		1.01302e+07	9.61476e+06	1.20877e+07	2.15967e+07	7.8733e+06	1.00387e+07	9.48436e+06	1.08349e+07	9.93996e+06	1.04761e+07	8.72161e+06	1.07098e+07	2.07902e+07	2.10329e+07	2.26816e+07	2.11355e+07	2.029e+07	1.88327e+07	1.98118e+07	8.17386e+06	5.27699e+06	6.23432e+06	8.35044e+06	8.05081e+06	7.55041e+06	8.22682e+06	7.63948e+06
Q8WV07	LTO1_HUMAN	LTO1			638791	926545							717032	752941	724711		927472	822592	1.10663e+06	757690	921494			465831						
Q8WV19	SFT2A_HUMAN	SFT2D1																					912834							
Q8WV22	NSE1_HUMAN	NSMCE1		1.03651e+07	9.74356e+06	9.85157e+06	7.66166e+06	7.51567e+06	8.53745e+06	1.09908e+07	1.11306e+07	8.43674e+06	1.16992e+07	9.90355e+06	1.0332e+07	1.00792e+07	8.86692e+06	9.39255e+06	8.97989e+06	9.97542e+06	8.86085e+06	8.80531e+06	8.5639e+06	9.1571e+06	8.78251e+06	9.31324e+06	8.26297e+06	7.2342e+06	9.71442e+06	9.59926e+06
Q8WV28	BLNK_HUMAN	BLNK						1.14799e+06	467046														345185	721833	424832	603049		452248	454845	469608
Q8WV37	ZN480_HUMAN	ZNF480					1.17442e+06		1.22111e+06							989532			1.25296e+06	1.23385e+06	1.76936e+06	1.59846e+06	671667	1.42072e+06	943776				894099	1.45614e+06
Q8WV44	TRI41_HUMAN	TRIM41		1.83507e+06	2.88855e+06	2.24487e+06	2.42077e+06	789219	1.65654e+06	2.3061e+06	2.57763e+06	2.70498e+06	2.93646e+06	2.33043e+06	2.67787e+06	3.61677e+06	2.90318e+06	2.85266e+06	2.57484e+06	3.84339e+06	3.40114e+06	2.68086e+06	1.51825e+06	1.69188e+06	1.79635e+06	1.42239e+06	1.68539e+06	1.77475e+06	1.55023e+06	1.76893e+06
Q8WV48	CC107_HUMAN	CCDC107																											49303.1	
Q8WV60	PTCD2_HUMAN	PTCD2		2.28482e+06	4.21607e+06	3.55962e+06	1.62567e+06		1.64362e+06	2.36441e+06	3.85931e+06	2.95875e+06		3.65852e+06	3.49694e+06	806188	1.3788e+06	842657			1.86371e+06	1.99026e+06	1.20669e+06	875477		1.68006e+06		2.47753e+06		
Q8WV74	NUDT8_HUMAN	NUDT8		1.12749e+07	2.01263e+07	1.80017e+07	1.29511e+07	4.80073e+06	5.78594e+06	1.5417e+07	1.6707e+07	1.32164e+07	1.11626e+07	2.08075e+07	1.61464e+07	1.31978e+07	1.41034e+07	1.26895e+07	1.01179e+07	1.12767e+07	1.29067e+07	1.38985e+07	4.66326e+06	5.24591e+06	5.27787e+06	5.01178e+06	5.19218e+06	5.26373e+06	5.56688e+06	5.66577e+06
Q8WV92	MITD1_HUMAN	MITD1		6.14165e+06	6.87045e+06	8.5523e+06	6.26828e+06	4.93294e+06	6.27722e+06	7.22567e+06	7.07703e+06	7.54455e+06	7.75415e+06	5.40371e+06	5.69264e+06	5.07125e+06	4.39966e+06	6.58535e+06	5.81322e+06	5.41875e+06	5.29438e+06	5.35546e+06	3.48211e+06	4.00451e+06	3.43379e+06	4.85858e+06	5.71978e+06	4.8445e+06	5.11918e+06	4.55041e+06
Q8WV93	AFG1L_HUMAN	AFG1L		5.11256e+06	6.44007e+06	5.40409e+06	2.6633e+06	5.31283e+06	3.26539e+06	4.39351e+06	5.74082e+06	5.13568e+06	5.98287e+06	6.50828e+06	5.83971e+06	3.06824e+06	2.63361e+06	2.67902e+06	2.3477e+06	2.91373e+06	2.83959e+06	3.35295e+06	3.20245e+06	4.17653e+06	4.44533e+06	3.38103e+06	3.85219e+06	4.15576e+06	3.98293e+06	3.71479e+06
Q8WV99	ZFN2B_HUMAN	ZFAND2B		2.43413e+06	2.41204e+06	4.30575e+06	8.71823e+06	4.65e+06	5.21128e+06	4.92948e+06		3.19602e+06	2.77476e+06	4.54011e+06	2.6326e+06	9.44667e+06	9.40536e+06	9.84775e+06	1.51061e+07	9.0965e+06	6.81441e+06	9.36233e+06	4.46547e+06	6.00795e+06	4.59138e+06	3.97002e+06	6.28031e+06	6.44263e+06	4.31401e+06	3.98638e+06
